# time,temperature
2.555110220440881719e+01,3.082949921598053677e+01
2.565130260521042160e+01,3.077134268386658889e+01
2.575150300601202602e+01,3.071378193169568505e+01
2.585170340681362688e+01,3.065681108501051000e+01
2.595190380761523130e+01,3.060042428971740236e+01
2.605210420841683572e+01,3.054461571208635817e+01
2.615230460921843658e+01,3.048937953875104512e+01
2.625250501002004100e+01,3.043470997670877409e+01
2.635270541082164542e+01,3.038060125332052763e+01
2.645290581162324628e+01,3.032704761631094215e+01
2.655310621242485070e+01,3.027404333376830792e+01
2.665330661322645511e+01,3.022158269414458687e+01
2.675350701402805598e+01,3.016966000625539479e+01
2.685370741482966039e+01,3.011826959927999781e+01
2.695390781563126481e+01,3.006740582276133722e+01
2.705410821643286567e+01,3.001706304660599756e+01
2.715430861723447009e+01,2.996723566108423498e+01
2.725450901803607451e+01,2.991791807682995952e+01
2.735470941883767537e+01,2.986910472484073864e+01
2.745490981963927979e+01,2.982079005647780789e+01
2.755511022044088421e+01,2.977296854346604604e+01
2.765531062124248507e+01,2.972563467789400704e+01
2.775551102204408949e+01,2.967878297221389161e+01
2.785571142284569390e+01,2.963240795924157212e+01
2.795591182364729477e+01,2.958650419215657124e+01
2.805611222444889918e+01,2.954106624450206908e+01
2.815631262525050360e+01,2.949608871018491385e+01
2.825651302605210446e+01,2.945156620347561116e+01
2.835671342685370888e+01,2.940749335900831340e+01
2.845691382765530975e+01,2.936386483178084816e+01
2.855711422845691416e+01,2.932067529715469334e+01
2.865731462925851858e+01,2.927791945085498782e+01
2.875751503006011944e+01,2.923559200897053501e+01
2.885771543086172386e+01,2.919368770795378509e+01
2.895791583166332828e+01,2.915220130462086345e+01
2.905811623246492914e+01,2.911112757615153868e+01
2.915831663326653356e+01,2.907046132008925099e+01
2.925851703406813797e+01,2.903019735434109094e+01
2.935871743486973884e+01,2.899033051717781717e+01
2.945891783567134325e+01,2.895085566723384218e+01
2.955911823647294767e+01,2.891176768350723236e+01
2.965931863727454854e+01,2.887306146535972573e+01
2.975951903807615295e+01,2.883473193251670708e+01
2.985971943887775737e+01,2.879677402506723283e+01
2.995991983967935823e+01,2.875918270346400618e+01
3.006012024048096265e+01,2.872195294852340197e+01
3.016032064128256707e+01,2.868507976142543825e+01
3.026052104208416793e+01,2.864855816371381181e+01
3.036072144288577235e+01,2.861238319729585911e+01
3.046092184368737676e+01,2.857654992444259179e+01
3.056112224448897763e+01,2.854105342778867183e+01
3.066132264529058205e+01,2.850588881033242217e+01
3.076152304609218646e+01,2.847105119543582674e+01
3.086172344689378733e+01,2.843653572682453046e+01
3.096192384769539174e+01,2.840233756858782499e+01
3.106212424849699616e+01,2.836845190517868076e+01
3.116232464929859702e+01,2.833487464429701674e+01
3.126252505010020144e+01,2.830161163847243699e+01
3.136272545090180586e+01,2.826866368973492527e+01
3.146292585170340672e+01,2.823602861356051008e+01
3.156312625250501114e+01,2.820370422850166392e+01
3.166332665330661555e+01,2.817168835618733169e+01
3.176352705410821642e+01,2.813997882132290584e+01
3.186372745490982084e+01,2.810857345169023702e+01
3.196392785571142525e+01,2.807747007814762696e+01
3.206412825651302967e+01,2.804666653462984272e+01
3.216432865731462698e+01,2.801616065814810597e+01
3.226452905811623140e+01,2.798595028879008595e+01
3.236472945891783581e+01,2.795603326971991720e+01
3.246492985971944023e+01,2.792640744717818890e+01
3.256513026052104465e+01,2.789707067048194133e+01
3.266533066132264906e+01,2.786802079202468363e+01
3.276553106212424638e+01,2.783925566727636891e+01
3.286573146292585079e+01,2.781077315478340495e+01
3.296593186372745521e+01,2.778257111616866837e+01
3.306613226452905963e+01,2.775464741613148334e+01
3.316633266533066404e+01,2.772699992244763578e+01
3.326653306613226846e+01,2.769962650596935916e+01
3.336673346693386577e+01,2.767252504062535223e+01
3.346693386773547019e+01,2.764569340342076487e+01
3.356713426853707460e+01,2.761912947443720512e+01
3.366733466933867902e+01,2.759283113683273569e+01
3.376753507014028344e+01,2.756679627684188105e+01
3.386773547094188785e+01,2.754102278377561674e+01
3.396793587174348517e+01,2.751550855002138007e+01
3.406813627254508958e+01,2.749025147104305233e+01
3.416833667334669400e+01,2.746524944538098012e+01
3.426853707414829842e+01,2.744050037465197178e+01
3.436873747494990283e+01,2.741600216354928321e+01
3.446893787575150725e+01,2.739175271984263205e+01
3.456913827655310456e+01,2.736774995437818347e+01
3.466933867735470898e+01,2.734399178107857153e+01
3.476953907815631339e+01,2.732047611694287426e+01
3.486973947895791781e+01,2.729720088204663853e+01
3.496993987975952223e+01,2.727416399954185522e+01
3.507014028056112664e+01,2.725136339565697696e+01
3.517034068136272396e+01,2.722879699969692169e+01
3.527054108216432837e+01,2.720646274404304776e+01
3.537074148296593279e+01,2.718435856415317531e+01
3.547094188376753721e+01,2.716248239856158975e+01
3.557114228456914162e+01,2.714083218887902049e+01
3.567134268537074604e+01,2.711940587979265871e+01
3.577154308617234335e+01,2.709820141906615731e+01
3.587174348697394777e+01,2.707721675753961676e+01
3.597194388777555218e+01,2.705644984912959217e+01
3.607214428857715660e+01,2.703589865082910748e+01
3.617234468937876102e+01,2.701556112270763066e+01
3.627254509018035833e+01,2.699543522791109496e+01
3.637274549098196275e+01,2.697551893266188117e+01
3.647294589178356716e+01,2.695581020625883184e+01
3.657314629258517158e+01,2.693630702107724773e+01
3.667334669338677600e+01,2.691700735256888422e+01
3.677354709418838041e+01,2.689790917926194780e+01
3.687374749498997772e+01,2.687901048276111027e+01
3.697394789579158214e+01,2.686030924774749096e+01
3.707414829659318656e+01,2.684180346197867095e+01
3.717434869739479097e+01,2.682349111628868599e+01
3.727454909819639539e+01,2.680537020458802999e+01
3.737474949899799981e+01,2.678743872386365155e+01
3.747494989979959712e+01,2.676969467417895743e+01
3.757515030060120154e+01,2.675213605867380551e+01
3.767535070140280595e+01,2.673476088356451541e+01
3.777555110220441037e+01,2.671756715814386141e+01
3.787575150300601479e+01,2.670055289478107241e+01
3.797595190380761920e+01,2.668371610892183909e+01
3.807615230460921651e+01,2.666705481908830322e+01
3.817635270541082093e+01,2.665056704687906119e+01
3.827655310621242535e+01,2.663425081696917118e+01
3.837675350701402976e+01,2.661810415711014599e+01
3.847695390781563418e+01,2.660212509812995307e+01
3.857715430861723860e+01,2.658631167393302164e+01
3.867735470941883591e+01,2.657066192150022843e+01
3.877755511022044033e+01,2.655517388088890840e+01
3.887775551102204474e+01,2.653984559523286180e+01
3.897795591182364916e+01,2.652467511074233641e+01
3.907815631262525358e+01,2.650966047670403469e+01
3.917835671342685799e+01,2.649479974548112793e+01
3.927855711422845530e+01,2.648009097251323141e+01
3.937875751503005972e+01,2.646553221631641861e+01
3.947895791583166414e+01,2.645112153848322123e+01
3.957915831663326856e+01,2.643685700368263269e+01
3.967935871743487297e+01,2.642273667966009398e+01
3.977955911823647739e+01,2.640875863723750427e+01
3.987975951903807470e+01,2.639492095031322805e+01
3.997995991983967912e+01,2.638122169586207022e+01
4.008016032064128353e+01,2.636765895393530812e+01
4.018036072144288795e+01,2.635423080766066306e+01
4.028056112224449237e+01,2.634093534324232166e+01
4.038076152304609678e+01,2.632777064996091809e+01
4.048096192384769410e+01,2.631473482017355181e+01
4.058116232464929851e+01,2.630182594931377338e+01
4.068136272545090293e+01,2.628904213589158800e+01
4.078156312625250735e+01,2.627638148149346620e+01
4.088176352705411176e+01,2.626384209078232601e+01
4.098196392785571618e+01,2.625142207149754014e+01
4.108216432865731349e+01,2.623911953445495016e+01
4.118236472945891791e+01,2.622693259354683804e+01
4.128256513026052232e+01,2.621485936574195463e+01
4.138276553106212674e+01,2.620289797108549834e+01
4.148296593186373116e+01,2.619104653269913285e+01
4.158316633266532847e+01,2.617930317678097296e+01
4.168336673346693289e+01,2.616766603260558455e+01
4.178356713426853730e+01,2.615613323252400235e+01
4.188376753507014172e+01,2.614470291196370511e+01
4.198396793587174614e+01,2.613337320942863684e+01
4.208416833667335055e+01,2.612214226649918913e+01
4.218436873747494786e+01,2.611100822783222242e+01
4.228456913827655228e+01,2.609996924116104466e+01
4.238476953907815670e+01,2.608902345729541494e+01
4.248496993987976111e+01,2.607816994236577557e+01
4.258517034068136553e+01,2.606741951277205516e+01
4.268537074148296995e+01,2.605677507551274630e+01
4.278557114228456726e+01,2.604623568946720269e+01
4.288577154308617168e+01,2.603580041856818639e+01
4.298597194388777609e+01,2.602546833180188557e+01
4.308617234468938051e+01,2.601523850320788611e+01
4.318637274549098493e+01,2.600511001187918936e+01
4.328657314629258934e+01,2.599508194196221211e+01
4.338677354709418665e+01,2.598515338265678309e+01
4.348697394789579107e+01,2.597532342821613582e+01
4.358717434869739549e+01,2.596559117794692284e+01
4.368737474949899990e+01,2.595595573620920149e+01
4.378757515030060432e+01,2.594641621241645169e+01
4.388777555110220874e+01,2.593697172103555459e+01
4.398797595190380605e+01,2.592762138158680685e+01
4.408817635270541047e+01,2.591836431864391699e+01
4.418837675350701488e+01,2.590919966183400547e+01
4.428857715430861930e+01,2.590012654583760110e+01
4.438877755511022372e+01,2.589114411038865526e+01
4.448897795591182813e+01,2.588225150027451349e+01
4.458917835671342544e+01,2.587344786533595098e+01
4.468937875751502986e+01,2.586473236046714064e+01
4.478957915831663428e+01,2.585610414561567438e+01
4.488977955911823869e+01,2.584756238578255960e+01
4.498997995991984311e+01,2.583910625102220138e+01
4.509018036072144753e+01,2.583073491644243092e+01
4.519038076152304484e+01,2.582244756220448778e+01
4.529058116232464926e+01,2.581424337352301279e+01
4.539078156312625367e+01,2.580612154066607644e+01
4.549098196392785809e+01,2.579808125895514337e+01
4.559118236472946251e+01,2.579012172876510434e+01
4.569138276553106692e+01,2.578224215552425136e+01
4.579158316633266423e+01,2.577444174971429192e+01
4.589178356713426865e+01,2.576671972687034895e+01
4.599198396793587307e+01,2.575907530758095021e+01
4.609218436873747748e+01,2.575150771748804246e+01
4.619238476953908190e+01,2.574401618728697372e+01
4.629258517034067921e+01,2.573659995272651813e+01
4.639278557114228363e+01,2.572925825460885108e+01
4.649298597194388805e+01,2.572199033878955987e+01
4.659318637274549246e+01,2.571479545617764728e+01
4.669338677354709688e+01,2.570767286273552799e+01
4.679358717434870130e+01,2.570062181947902502e+01
4.689378757515029861e+01,2.569364159247738044e+01
4.699398797595190302e+01,2.568673145285323400e+01
4.709418837675350744e+01,2.567989067678265513e+01
4.719438877755511186e+01,2.567311854549511096e+01
4.729458917835671627e+01,2.566641434527348409e+01
4.739478957915832069e+01,2.565977736745407256e+01
4.749498997995991800e+01,2.565320690842658280e+01
4.759519038076152242e+01,2.564670226963413313e+01
4.769539078156312684e+01,2.564026275757325379e+01
4.779559118236473125e+01,2.563388768379389049e+01
4.789579158316633567e+01,2.562757636489939372e+01
4.799599198396794009e+01,2.562132812254652947e+01
4.809619238476953740e+01,2.561514228344547561e+01
4.819639278557114181e+01,2.560901817935982550e+01
4.829659318637274623e+01,2.560295514710657372e+01
4.839679358717435065e+01,2.559695252855613745e+01
4.849699398797595506e+01,2.559100967063233867e+01
4.859719438877755948e+01,2.558512592531241836e+01
4.869739478957915679e+01,2.557930064962701522e+01
4.879759519038076121e+01,2.557353320566019761e+01
4.889779559118236563e+01,2.556782296054943515e+01
4.899799599198397004e+01,2.556216928648560582e+01
4.909819639278557446e+01,2.555657156071301017e+01
4.919839679358717888e+01,2.555102916552935355e+01
4.929859719438877619e+01,2.554554148828575322e+01
4.939879759519038060e+01,2.554010792138674191e+01
4.949899799599198502e+01,2.553472786229025715e+01
4.959919839679358944e+01,2.552940071350765194e+01
4.969939879759519386e+01,2.552412588260369475e+01
4.979959919839679827e+01,2.551890278219656594e+01
4.989979959919839558e+01,2.551373082995784713e+01
5.000000000000000000e+01,2.550860944861253898e+01
