# time,position
3.613613613613613662e+00,1.763411362441417718e-01
3.623623623623623669e+00,1.779390746455160321e-01
3.633633633633633675e+00,1.795575756186478245e-01
3.643643643643643681e+00,1.811957965486307442e-01
3.653653653653653688e+00,1.828528818564276182e-01
3.663663663663663694e+00,1.845279629988706149e-01
3.673673673673673701e+00,1.862201584686611899e-01
3.683683683683683707e+00,1.879288780844181328e-01
3.693693693693693714e+00,1.896542298658634718e-01
3.703703703703703720e+00,1.913954370791734194e-01
3.713713713713713727e+00,1.931516530533454734e-01
3.723723723723723733e+00,1.949220362794088501e-01
3.733733733733733740e+00,1.967057504104245680e-01
3.743743743743743746e+00,1.985019642614853086e-01
3.753753753753753752e+00,2.003098518097155556e-01
3.763763763763763759e+00,2.021285921942715114e-01
3.773773773773773765e+00,2.039573697163411803e-01
3.783783783783783772e+00,2.057953738391442855e-01
3.793793793793793778e+00,2.076417991879322411e-01
3.803803803803803785e+00,2.094958455499882910e-01
3.813813813813813791e+00,2.113567178746274255e-01
3.823823823823823798e+00,2.132236262731962984e-01
3.833833833833833804e+00,2.150957860190733928e-01
3.843843843843843811e+00,2.169724175476689387e-01
3.853853853853853817e+00,2.188527464564248570e-01
3.863863863863863823e+00,2.207360035048148428e-01
3.873873873873873830e+00,2.226214246143443931e-01
3.883883883883883836e+00,2.245082508685506684e-01
3.893893893893893843e+00,2.263957285130026031e-01
3.903903903903903849e+00,2.282831089553009618e-01
3.913913913913913856e+00,2.301696487650780887e-01
3.923923923923923862e+00,2.320546096739982689e-01
3.933933933933933869e+00,2.339372585757573675e-01
3.943943943943943875e+00,2.358168675260831071e-01
3.953953953953953881e+00,2.376927137427349290e-01
3.963963963963963888e+00,2.395640796055040211e-01
3.973973973973973894e+00,2.414302526562132900e-01
3.983983983983983901e+00,2.432905255987174442e-01
3.993993993993993907e+00,2.451441962989028556e-01
4.004004004004004358e+00,2.469905677846878644e-01
4.014014014014014364e+00,2.488289482460221691e-01
4.024024024024024371e+00,2.506586510348875474e-01
4.034034034034034377e+00,2.524789946652974404e-01
4.044044044044044384e+00,2.542893028132969802e-01
4.054054054054054390e+00,2.560889043169630730e-01
4.064064064064064397e+00,2.578771331764044272e-01
4.074074074074074403e+00,2.596533285537614422e-01
4.084084084084084409e+00,2.614168347732063191e-01
4.094094094094094416e+00,2.631670013209428949e-01
4.104104104104104422e+00,2.649031828452068638e-01
4.114114114114114429e+00,2.666247391562656111e-01
4.124124124124124435e+00,2.683310352264183241e-01
4.134134134134134442e+00,2.700214411899958256e-01
4.144144144144144448e+00,2.716953323433609069e-01
4.154154154154154455e+00,2.733522142406343280e-01
4.164164164164164461e+00,2.749923373661595227e-01
4.174174174174174468e+00,2.766151920902863992e-01
4.184184184184184474e+00,2.782201042528608115e-01
4.194194194194194480e+00,2.798064160266796052e-01
4.204204204204204487e+00,2.813734859174911729e-01
4.214214214214214493e+00,2.829206887639950097e-01
4.224224224224224500e+00,2.844474157378420465e-01
4.234234234234234506e+00,2.859530743436343170e-01
4.244244244244244513e+00,2.874370884189252906e-01
4.254254254254254519e+00,2.888988981342196505e-01
4.264264264264264526e+00,2.903379599929734045e-01
4.274274274274274532e+00,2.917537468315938298e-01
